videoId,commentId,author,text,likeCount,replyCount,supportive,toxic,level,obscene,insult,threat,personal
mPE8GqTg4NM,Ugw5NFAXpIpEook3IQl4AaABAg,韋禮安 WeiBird,謝謝阿滴 來我的工作室作客 下次再來玩喔～～❤️,8191,89,1,0,1,0,0,0,0
mPE8GqTg4NM,UgwjBpU7P_M8C3UBcPN4AaABAg,iamfromjb,M25 M4 are the routes of expressways.,0,0,0,0,0,0,0,0,0
mPE8GqTg4NM,UgwG3fckcOP8AOaBNbN4AaABAg,曾子昕,韋禮安好可愛❤️,0,0,1,0,0.5,0,0,0,0
mPE8GqTg4NM,Ugxgxh8ys2vL9ZnJrRR4AaABAg,Cherish Jonghui,You have cymotrichous hair..... 我快笑死了😂,0,0,0.8,0,0.4,0,0,0,0
mPE8GqTg4NM,UgzUPPrqKq_hnKk5cCF4AaABAg,Estelle X,我才知道韦礼安原来这么帅的。。爱了,0,0,1,0,0.4,0,0,0,0
mPE8GqTg4NM,UgxZsaR2XQgmZf0neLZ4AaABAg,Xiner Tan,啊阿啊 一口一口吃掉寂寞❤️❤️,0,0,0.8,0,0.5,0,0,0,0
mPE8GqTg4NM,UgwE19FvSQmX3y40-8Z4AaABAg,FAN LU KUO,羨慕~,0,0,0,0,0,0,0,0,0
mPE8GqTg4NM,UgwECLOFBBUCHgR6qYh4AaABAg,yo i,一句英语都听不懂😂,0,0,0.4,0,0.3,0,0,0,0
mPE8GqTg4NM,UgxrhkOTGZtgIBuhbih4AaABAg,林厝港,台湾英文最好的人不是Tony Chen 吗？我们星马一带的人是被误导了吗？,0,0,0,0,0,0,0,0,0
mPE8GqTg4NM,UgxvPNu8IPI5oXtO5Zt4AaABAg,MEGAN 硕士小姐姐,Station number?,0,0,0,0,0,0,0,0,0
mPE8GqTg4NM,UgwUlvr3ZWPPv6LEOeN4AaABAg,Willian Miller,阿滴是死了嗎？最近都沒發片？是去支持美國的反白人警察壓頸黑人致死的民權運動，而被美國警察槍殺了嗎？ 阿滴去年不是很支持香港黑衣人的？ 今年到底有沒有去美國，支持美國人的人權運動呢？ 雙標的都是雜碎破爛貨喔，跟阿滴的英文一樣破爛。,0,0,0,1,0.4,0,0,0,0
mPE8GqTg4NM,Ugzx32VznfIWbINXyqd4AaABAg,張亭芝,天啊！韋禮安真的很全方位👍🏼,2,0,1,0,0.5,0,0,0,0
mPE8GqTg4NM,UgwU_iOVE8YwrQ8CC9N4AaABAg,利文,什麽鬼！我是澳洲人啊，那些英文詞都聽不懂🤣,0,0,0.4,0,0.4,0,0,0,0
mPE8GqTg4NM,UgwW6r5hgFhL9CKnANF4AaABAg,YN L,我的天！直接被禮安圈粉！！！,1,0,1,0,0.4,0,0,0,0
mPE8GqTg4NM,UgwP0jmPy9p2zUp-pyR4AaABAg,jaysandra126,韋禮安要不要考慮出個英文專輯？,0,1,0,0,0,0,0,0,0
mPE8GqTg4NM,UgxtQnpeXNo_0d5fbtR4AaABAg,德雷可,我覺得你們兩個可以在一起,0,0,0,0,0,0,0,0,0
mPE8GqTg4NM,UgzRQburho-2tSyM8SZ4AaABAg,Lunatique,天啊太強了! 身為英語母語者的我有些字甚至根本都沒聽過 🤣,0,0,1,0,0.7,0,0,0,0
mPE8GqTg4NM,UgzHXdAQiOIi64L8uQt4AaABAg,Layna Wang,平常聽韋禮安唱歌，看到不一樣的他，很喜歡🥰,1,0,1,0,0.5,0,0,0,0
mPE8GqTg4NM,UgzPNpSk8KeJUTjQ0bt4AaABAg,黃慧玉,"https://www.youtube.com/user/lingosteve/videos
這位先生很厲害，也許您們有機會可以合作",0,0,1,0,0.4,0,0,0,0
mPE8GqTg4NM,UgwE7IlxZW9muD_s4Zp4AaABAg,殘響蕨滅,"救命喔韋禮安也太可愛><!!!
禮安繞口令算說的很好了可以在歌裡加唱rap喔～XD",1,0,1,0,0.5,0,0,0,0
mPE8GqTg4NM,UgzVh3vgvbhEHTzLeSR4AaABAg,-NoeLeon -,Joey 笑死😂,1,0,0.8,0,0.5,0,0,0,0
mPE8GqTg4NM,UgyZs6vpbM-GPqYqtnN4AaABAg,李路美,啊的，m你好,0,0,0,0,0,0,0,0,0
mPE8GqTg4NM,UgylfbKLAFHnukz-ezh4AaABAg,Madame de Tourvel,Love it. So funny😂❤,0,0,1,0,1,0,0,0,0
mPE8GqTg4NM,UgyvnMrekzrtBMqXiUR4AaABAg,陳泰容,就像美國的拼字比賽 哈哈哈哈,0,0,0.4,0,0.4,0,0,0,0
