v+A1:K58ideoId,commentId,author,text,likeCount,replyCount,supportive,toxic,level,obscene,insult,threat,personal
RHHATFfNsAA,UgwYUY578RUkhIZGJCd4AaABAg,RW,博恩失智秀？,0,0,0,0.7,0.3,0,1,0,0
RHHATFfNsAA,Ugy8-eUmGsTOFP0yyu54AaABAg,TF2的逗逼,"正常人:doki doki (戀愛的感覺)
經過某遊戲洗禮的人: doki doki(地域的景象)",0,0,0,0,0,0,0,0,0
RHHATFfNsAA,UgxGQmqL3RKhkDIZP5R4AaABAg,廖明春,爛公司...,0,1,0,1,0.4,0,1,0,0
RHHATFfNsAA,UgyC6KQ0vkO6SeDZ20R4AaABAg,簡良宇,再看一次看到某社會系老師立委XD,0,0,0.7,0,0.4,0,0,0,0
RHHATFfNsAA,UgxLO3IHaGcdXrvv-pR4AaABAg,沒有用戶,1:56是阿心嗎,0,0,0,0,0,0,0,0,0
RHHATFfNsAA,Ugy6rZnpFQLVPaxM9b14AaABAg,哥屌大,武漢肺炎  都沒飛機飛了  回來看罷工  真諷刺,0,0,0,0.6,0.4,0,1,0,0
RHHATFfNsAA,Ugz8fPmkfZvPlr-XB4t4AaABAg,阿石,看見阿心！！！！！！！！！！！！！！！！,0,0,0,0,0,0,0,0,0
RHHATFfNsAA,Ugwkmff_ZFoRsZ4Kfvh4AaABAg,清水建奈,沒關西現在有星宇航空老闆是個很優秀的人哦~,0,0,0.8,0,0.3,0,0,0,0
RHHATFfNsAA,UgzYH8_vnf9rjPGH1Cd4AaABAg,kitkit567,說過比笑話更好笑的笑話，醫護為了救港而罷工,0,0,0,0,0,0,0,0,0
RHHATFfNsAA,UgxvLYrgmyrs73YNcD54AaABAg,Liming Ren,在中国你要组织工会？拜托，工会都是党支部组织的，个人不可能啦,0,0,0,0,0,0,0,0,0
RHHATFfNsAA,UgxD_Vjwq7xKh2phH3B4AaABAg,羽虎,#8:37我倆惺惺相惜，但沒有情不自禁,0,0,0,0,0,0,0,0,0
RHHATFfNsAA,UgyrVnU9yps3bEHM_H54AaABAg,ㄊㄊ（伊娜）,所以⋯⋯勞工們的權益有變好了嗎,0,0,0,0,0,0,0,0,0
